Date,Open,High,Low,Close,Adj Close,Volume
1997-05-19,56.625027,57.468777,56.062527,56.362530,32.988930,17066
1997-05-20,55.406277,55.406277,54.281277,54.562527,31.935394,10133
1997-05-21,54.562527,55.406277,54.281277,54.281277,31.770765,4266
1997-05-22,53.437527,53.718777,53.156277,53.718777,31.441549,2133
1997-05-23,53.437527,53.437527,52.312527,52.593777,30.783083,7466
1997-05-26,53.718777,53.718777,50.625027,50.906277,29.795385,10933
1997-05-27,49.781273,50.625027,48.093773,49.500023,28.972313,23466
1997-05-28,50.343777,52.312527,49.500023,51.750027,30.289238,15999
1997-05-29,52.593777,54.000027,52.593777,53.718777,31.441549,215733
1997-05-30,54.562527,57.375027,54.562527,55.687527,32.593845,19466
1997-06-02,57.937527,58.218781,56.812527,57.656277,33.746162,273333
1997-06-03,59.062531,59.062531,58.781281,59.062531,34.569244,10666
1997-06-04,59.062531,61.875031,59.062531,61.312531,35.886154,147199
1997-06-05,61.875031,65.812531,61.593781,64.968781,38.026169,167999
1997-06-06,65.531281,69.468781,65.531281,68.343781,40.001545,51199
1997-06-09,70.875038,71.156288,64.968781,65.812531,38.520000,84533
1997-06-10,65.812531,67.781281,65.531281,67.500031,39.507702,33599
1997-06-11,68.625031,69.187531,68.062531,68.625031,40.166168,16533
1997-06-12,68.625031,68.906281,68.343781,68.343781,40.001545,3466
1997-06-13,67.781281,68.625031,65.531281,66.656281,39.013859,126133
1997-06-16,67.218781,67.218781,65.531281,65.531281,38.355400,2666
1997-06-17,64.125031,64.406281,61.593781,61.593781,36.050774,13866
1997-06-18,61.593781,61.593781,61.593781,61.593781,36.050774,0
1997-06-19,61.875031,62.437531,61.875031,61.875031,36.215401,30933
1997-06-20,61.031281,61.031281,60.468781,60.750031,35.556942,18133
1997-06-23,61.875031,66.656281,61.875031,64.125031,37.532330,14666
1997-06-24,63.562531,64.125031,63.281281,64.125031,37.532330,7999
1997-06-25,64.406281,66.656281,64.406281,66.656281,39.013859,226666
1997-06-26,66.937531,68.625031,66.375031,66.656281,39.013859,115466
1997-06-27,65.812531,68.343781,65.812531,67.500031,39.507702,64266
1997-06-30,66.656281,66.656281,66.375031,66.656281,39.013859,5333
1997-07-01,67.500031,67.500031,65.250031,65.812531,38.520000,12799
1997-07-02,65.812531,67.500031,65.812531,67.500031,39.507702,2399
1997-07-03,67.781281,67.781281,66.093781,66.093781,38.684620,4533
1997-07-04,66.656281,66.656281,62.437531,62.718781,36.709232,6666
1997-07-07,61.875031,61.875031,56.812527,56.812527,33.252312,27466
1997-07-08,54.281277,54.562527,51.187527,54.000027,31.606163,59466
1997-07-09,55.968777,59.343781,55.968777,58.500031,34.240005,310133
