company,qtr_end_date,qtr_end_closing_price,Shares Outstanding,quarter,year,Net sales,Total expenses,PAT,ann_date,early_ann,company_code,stck_ann,next_day
Oil & Natural Gas Corpn. Ltd.,2007-06-29 00:00:00,150.36,2138872530,1,2007,136877,99518.4,46105.3,2007-07-25 00:00:00,1,ONGC,,
Tata Power Co. Ltd.,2007-06-29 00:00:00,64.75,197897864,1,2007,15114.8,14276.1,1902,2007-07-26 00:00:00,0,tataPower,,
G A I L (India) Ltd.,2007-06-29 00:00:00,38.56,845651600,1,2007,42456.8,36485.1,6852.2,2007-07-27 00:00:00,0,GAIL,,
Reliance Industries Ltd.,2007-06-29 00:00:00,421.07,1393508041,1,2007,295240,252130,36300,2007-07-28 00:00:00,0,Reliance,,
N T P C Ltd.,2007-06-29 00:00:00,126.96,8245464400,1,2007,84491.7,77012.5,23699.3,2007-07-30 00:00:00,0,NTPC,,
Indian Oil Corpn. Ltd.,2007-06-29 00:00:00,36.93,1192374306,1,2007,528619.6,537953.3,14684.1,2007-07-30 00:00:00,0,IOC,,
G A I L (India) Ltd.,2007-09-28 00:00:00,47.34,845651600,2,2007,45457.9,41425.9,5725.4,2007-10-17 00:00:00,1,GAIL,,
Reliance Industries Ltd.,2007-09-28 00:00:00,568.64,1393508041,2,2007,320430,292940,38370,2007-10-18 00:00:00,0,Reliance,,
N T P C Ltd.,2007-09-28 00:00:00,161.21,8245464400,2,2007,78959.2,68236.3,19254.9,2007-10-27 00:00:00,0,NTPC,,
Tata Power Co. Ltd.,2007-09-28 00:00:00,82.53,207791864,2,2007,13505.6,12335.3,2574.3,2007-10-30 00:00:00,0,tataPower,,
Indian Oil Corpn. Ltd.,2007-09-28 00:00:00,39.2,1192374306,2,2007,567094.7,552299.8,38177.5,2007-10-30 00:00:00,0,IOC,,
Oil & Natural Gas Corpn. Ltd.,2007-09-28 00:00:00,159.65,2138872530,2,2007,154825.9,116943.5,50974.8,2007-10-30 00:00:00,0,ONGC,,
Reliance Industries Ltd.,2007-12-31 00:00:00,713.47,1453648601,3,2007,345900,350050,38820,2008-01-17 00:00:00,1,Reliance,,
Oil & Natural Gas Corpn. Ltd.,2007-12-31 00:00:00,206.08,2138872530,3,2007,152205,119523.6,43665.4,2008-01-21 00:00:00,0,ONGC,,
Tata Power Co. Ltd.,2007-12-31 00:00:00,141.95,218084010,3,2007,14194,12648.7,1972.8,2008-01-29 00:00:00,0,tataPower,,
N T P C Ltd.,2007-12-31 00:00:00,208.37,8245464400,3,2007,96637.1,83209.9,17799.2,2008-01-30 00:00:00,0,NTPC,,
Power Grid Corpn. Of India Ltd.,2007-12-31 00:00:00,107.85,4208841230,3,2007,10989.4,8179.7,3842.8,2008-01-30 00:00:00,0,powerGrid,,
Indian Oil Corpn. Ltd.,2007-12-31 00:00:00,66.19,1192374306,3,2007,644378.3,618166.8,20906.9,2008-01-31 00:00:00,0,IOC,,
