Company Name|Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding 
Apollo Hospitals Enterprise Ltd.|31-03-2000|154.88|15910912.00|30-06-2000|119.47|39518681.00|29-09-2000|111.45|39518681.00|29-12-2000|91.40|39518681.00|30-03-2001|58.23|39518681.00|29-06-2001|40.05|39518681.00|28-09-2001|35.50|39518681.00|31-12-2001|55.75|39518681.00|28-03-2002|64.63|39518681.00|28-06-2002|64.55|39518688.00|30-09-2002|49.58|39518688.00|31-12-2002|52.77|39518688.00|31-03-2003|46.25|39518688.00|30-06-2003|61.38|39518688.00|30-09-2003|78.80|39518688.00|31-12-2003|90.50|39518688.00|31-03-2004|84.33|39518688.00|30-06-2004|115.50|39518688.00|30-09-2004|107.20|41598618.00|31-12-2004|128.50|41598618.00|31-03-2005|176.05|41598618.00|30-06-2005|176.70|41598618.00|30-09-2005|229.45|50598618.00|30-12-2005|249.45|50598618.00|31-03-2006|253.35|50598618.00|30-06-2006|202.25|50598618.00|29-09-2006|236.80|50598618.00|29-12-2006|214.78|51638583.00|30-03-2007|248.25|51638583.00|29-06-2007|260.07|51638583.00|28-09-2007|243.13|51638583.00|31-12-2007|262.63|58685702.00|31-03-2008|253.85|58685702.00|30-06-2008|244.70|58685702.00|30-09-2008|224.30|60235702.00|31-12-2008|225.82|60235702.00|31-03-2009|204.10|60235702.00|30-06-2009|286.18|61784859.00|30-09-2009|274.13|61784859.00|31-12-2009|327.75|61784859.00|31-03-2010|364.95|61784859.00|30-06-2010|375.73|61784859.00|30-09-2010|455.65|123569718.00|31-12-2010|454.15|124710710.00|31-03-2011|471.20|124710710.00|30-06-2011|478.15|124710710.00|30-09-2011|518.60|131377376.00|30-12-2011|562.90|134466618.00|30-03-2012|638.75|134466618.00|29-06-2012|617.15|135848237.00|28-09-2012|728.10|139125159.00|31-12-2012|788.30|139125159.00|28-03-2013|833.60|139125159.00|28-06-2013|1038.55|139125159.00|30-09-2013|930.55|139125159.00|31-12-2013|945.95|139125159.00|31-03-2014|915.90|139125159.00|30-06-2014|995.10|139125159.00|30-09-2014|1120.65|139125159.00|31-12-2014|1127.90|139125159.00|31-03-2015|1365.45|139125159.00|30-06-2015|1316.40|139125159.00|30-09-2015|1441.55|139125159.00|31-12-2015|1462.80|139125159.00|31-03-2016|1324.45|139125159.00|30-06-2016|1313.00|139125159.00|30-09-2016|1323.95|139125159.00|30-12-2016|1179.60|139125159.00|31-03-2017|1166.65|139125159.00|30-06-2017|1275.90|139125159.00|29-09-2017|1006.65|139125159.00|29-12-2017|1205.25|139125159.00|28-03-2018|1062.65|139125159.00|29-06-2018|1046.20|139125159.00|28-09-2018|1043.10|139125159.00|31-12-2018|1258.70|139125159.00|29-03-2019|1220.95|139125159.00|28-06-2019|1359.05|139125159.00|30-09-2019|1397.45|139125159.00|31-12-2019|1441.55|139125159.00|31-03-2020|1137.85|139125159.00|30-06-2020|1349.65|139125159.00|30-09-2020|2149.50|139125159.00|31-12-2020|2411.30|139125159.00|31-03-2021|2902.90|143784657.00|30-06-2021|3618.15|143784657.00|30-09-2021|4484.60|143784657.00|31-12-2021|5012.60|143784657.00|31-03-2022|4516.25|143784657.00
Cipla Ltd.|31-03-2000|89.68|59972349.00|30-06-2000|69.12|59972349.00|29-09-2000|54.95|59972349.00|29-12-2000|83.52|59972349.00|30-03-2001|79.90|59972349.00|29-06-2001|91.46|59972349.00|28-09-2001|89.89|59972349.00|31-12-2001|91.06|59972349.00|28-03-2002|81.44|59972349.00|28-06-2002|75.27|59972349.00|30-09-2002|75.68|59972349.00|31-12-2002|71.95|59972349.00|31-03-2003|57.16|59972349.00|30-06-2003|60.40|59972349.00|30-09-2003|82.36|59972349.00|31-12-2003|105.38|59972349.00|31-03-2004|93.60|59972349.00|30-06-2004|84.96|299861745.00|30-09-2004|118.42|299870233.00|31-12-2004|126.90|299870233.00|31-03-2005|101.92|299870233.00|30-06-2005|125.44|299870233.00|30-09-2005|152.02|299870233.00|30-12-2005|177.36|299870233.00|31-03-2006|264.78|299870233.00|30-06-2006|215.80|777291357.00|29-09-2006|262.25|777291357.00|29-12-2006|250.70|777291357.00|30-03-2007|235.70|777291357.00|29-06-2007|208.45|777291357.00|28-09-2007|182.40|777291357.00|31-12-2007|212.60|777291357.00|31-03-2008|219.75|777291357.00|30-06-2008|211.10|777291357.00|30-09-2008|228.55|777291357.00|31-12-2008|186.90|777291357.00|31-03-2009|219.75|777291357.00|30-06-2009|253.30|777291357.00|30-09-2009|279.75|802921357.00|31-12-2009|335.60|802921357.00|31-03-2010|337.10|802921357.00|30-06-2010|337.75|802921357.00|30-09-2010|321.65|802921357.00|31-12-2010|369.90|802921357.00|31-03-2011|321.05|802921357.00|30-06-2011|330.35|802921357.00|30-09-2011|282.70|802921357.00|30-12-2011|319.55|802921357.00|30-03-2012|304.55|802921357.00|29-06-2012|316.40|802921357.00|28-09-2012|380.60|802921357.00|31-12-2012|414.10|802921357.00|28-03-2013|379.75|802921357.00|28-06-2013|391.45|802921357.00|30-09-2013|432.00|802921357.00|31-12-2013|400.55|802921357.00|31-03-2014|383.70|802921357.00|30-06-2014|437.95|802921357.00|30-09-2014|625.70|802921357.00|31-12-2014|625.80|802921357.00|31-03-2015|711.20|802960440.00|30-06-2015|616.30|803090988.00|30-09-2015|637.80|803104806.00|31-12-2015|649.50|803238846.00|31-03-2016|512.20|803384282.00|30-06-2016|501.45|803604792.00|30-09-2016|580.25|804210471.00|30-12-2016|568.20|804394380.00|31-03-2017|592.30|804510074.00|30-06-2017|554.35|804557624.00|29-09-2017|584.95|804692821.00|29-12-2017|607.15|804944690.00|28-03-2018|543.25|805119164.00|29-06-2018|614.95|805191188.00|28-09-2018|653.30|805227852.00|31-12-2018|520.00|805667509.00|29-03-2019|529.30|805701266.00|28-06-2019|552.45|805828425.00|30-09-2019|425.05|806077497.00|31-12-2019|478.45|806227596.00|31-03-2020|423.00|806235329.00|30-06-2020|640.05|806271001.00|30-09-2020|774.75|806337456.00|31-12-2020|819.85|806455229.00|31-03-2021|815.25|806463279.00|30-06-2021|971.95|806596753.00|30-09-2021|984.10|806653624.00|31-12-2021|944.30|806790214.00|31-03-2022|1018.50|806814036.00
Divi'S Laboratories Ltd.|||||||||||||||||||||||||||||||||||||31-03-2003|10.98|12818700.00|30-06-2003|27.46|12818700.00|30-09-2003|44.69|12818700.00|31-12-2003|78.73|12818700.00|31-03-2004|72.44|12818700.00|30-06-2004|56.34|12818700.00|30-09-2004|68.32|12818700.00|31-12-2004|68.02|12818700.00|31-03-2005|49.79|12818700.00|30-06-2005|52.11|12818700.00|30-09-2005|76.19|12818700.00|30-12-2005|76.27|12818700.00|31-03-2006|93.59|12818700.00|30-06-2006|65.18|12818700.00|29-09-2006|110.17|12818700.00|29-12-2006|152.82|12818700.00|30-03-2007|153.93|12911420.00|29-06-2007|291.54|12911420.00|28-09-2007|304.23|64557100.00|31-12-2007|467.30|64557100.00|31-03-2008|317.25|64557100.00|30-06-2008|333.50|64672950.00|30-09-2008|333.66|64724125.00|31-12-2008|334.85|64748525.00|31-03-2009|238.40|64758025.00|30-06-2009|279.06|64847975.00|30-09-2009|283.43|130556995.00|31-12-2009|338.00|130744545.00|31-03-2010|339.52|132144145.00|30-06-2010|386.10|132144145.00|30-09-2010|346.35|132531240.00|31-12-2010|322.85|132565420.00|31-03-2011|337.95|132595110.00|30-06-2011|392.52|132650030.00|30-09-2011|366.10|132676550.00|30-12-2011|387.68|132703110.00|30-03-2012|383.32|132734290.00|29-06-2012|513.42|132734290.00|28-09-2012|540.05|132734290.00|31-12-2012|551.95|132734290.00|28-03-2013|491.85|132734290.00|28-06-2013|495.32|132734290.00|30-09-2013|483.77|132734290.00|31-12-2013|610.90|132734290.00|31-03-2014|684.50|132734290.00|30-06-2014|730.17|132734290.00|30-09-2014|899.65|132734290.00|31-12-2014|859.25|132734290.00|31-03-2015|895.08|132734290.00|30-06-2015|938.00|132734290.00|30-09-2015|1114.80|265468580.00|31-12-2015|1155.25|265468580.00|31-03-2016|985.05|265468580.00|30-06-2016|1111.45|265468580.00|30-09-2016|1289.70|265468580.00|30-12-2016|783.10|265468580.00|31-03-2017|624.15|265468580.00|30-06-2017|646.85|265468580.00|29-09-2017|855.05|265468580.00|29-12-2017|1098.20|265468580.00|28-03-2018|1089.50|265468580.00|29-06-2018|1038.35|265468580.00|28-09-2018|1309.50|265468580.00|31-12-2018|1482.20|265468580.00|29-03-2019|1703.20|265468580.00|28-06-2019|1596.85|265468580.00|30-09-2019|1664.75|265468580.00|31-12-2019|1846.10|265468580.00|31-03-2020|1987.55|265468580.00|30-06-2020|2278.85|265468580.00|30-09-2020|3047.40|265468580.00|31-12-2020|3842.45|265468580.00|31-03-2021|3630.05|265468580.00|30-06-2021|4405.85|265468580.00|30-09-2021|4798.80|265468580.00|31-12-2021|4678.10|265468580.00|31-03-2022|4403.85|265468580.00
Dr. Lal Pathlabs Ltd.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||31-12-2015|802.20|82644757.00|31-03-2016|921.50|82676997.00|30-06-2016|845.60|82742997.00|30-09-2016|1076.55|82776997.00|30-12-2016|1072.50|82781184.00|31-03-2017|967.50|83066184.00|30-06-2017|780.90|83332744.00|29-09-2017|795.20|83332744.00|29-12-2017|892.05|83332744.00|28-03-2018|874.75|83332744.00|29-06-2018|954.95|83341610.00|28-09-2018|954.85|83341610.00|31-12-2018|913.00|83341610.00|29-03-2019|1054.50|83341610.00|28-06-2019|1068.95|83341610.00|30-09-2019|1388.35|83341610.00|31-12-2019|1492.85|83341610.00|31-03-2020|1401.40|83344877.00|30-06-2020|1565.90|83344877.00|30-09-2020|1878.65|83344877.00|31-12-2020|2307.30|83344877.00|31-03-2021|2707.45|83344877.00|30-06-2021|3272.30|83344877.00|30-09-2021|3678.15|83344877.00|31-12-2021|3822.60|83344877.00|31-03-2022|2607.20|83344877.00
Dr. Reddy'S Laboratories Ltd.|31-03-2000|402.90|26487238.00|30-06-2000|326.46|26487238.00|29-09-2000|314.01|26487238.00|29-12-2000|318.18|26487238.00|30-03-2001|311.81|31588780.00|29-06-2001|402.56|38201280.00|28-09-2001|446.32|38201280.00|31-12-2001|461.73|76515948.00|28-03-2002|548.92|76515948.00|28-06-2002|472.82|76515948.00|30-09-2002|417.02|76515948.00|31-12-2002|449.07|76515948.00|31-03-2003|458.35|76515948.00|30-06-2003|547.35|76515948.00|30-09-2003|528.70|76515948.00|31-12-2003|714.02|76515948.00|31-03-2004|486.98|76518949.00|30-06-2004|367.70|76518949.00|30-09-2004|368.43|76518949.00|31-12-2004|432.65|76518949.00|31-03-2005|369.55|76518949.00|30-06-2005|376.60|76538949.00|30-09-2005|426.27|76538949.00|30-12-2005|489.25|76538949.00|31-03-2006|710.15|76694570.00|30-06-2006|637.00|76702253.00|29-09-2006|731.30|153515604.00|29-12-2006|811.20|167829562.00|30-03-2007|727.50|167912180.00|29-06-2007|655.95|168049852.00|28-09-2007|649.00|168097442.00|31-12-2007|735.35|168132142.00|31-03-2008|590.95|168172746.00|30-06-2008|670.55|168297383.00|30-09-2008|508.95|168400728.00|31-12-2008|469.75|168429137.00|31-03-2009|488.65|168468777.00|30-06-2009|777.85|168667270.00|30-09-2009|988.10|168745279.00|31-12-2009|1143.80|168825035.00|31-03-2010|1276.80|168845385.00|30-06-2010|1452.20|169144263.00|30-09-2010|1440.30|169201575.00|31-12-2010|1662.55|169227307.00|31-03-2011|1638.55|169252732.00|30-06-2011|1533.40|169475832.00|30-09-2011|1480.80|169526486.00|30-12-2011|1577.95|169544051.00|30-03-2012|1758.65|169560346.00|29-06-2012|1649.25|169807913.00|28-09-2012|1647.40|169833995.00|31-12-2012|1828.50|169833995.00|28-03-2013|1766.30|169836475.00|28-06-2013|2215.40|170068519.00|30-09-2013|2383.65|170099735.00|31-12-2013|2533.05|170099735.00|31-03-2014|2560.80|170108868.00|30-06-2014|2615.15|170335039.00|30-09-2014|3227.65|170365839.00|31-12-2014|3244.95|170365839.00|31-03-2015|3487.45|170381174.00|30-06-2015|3550.55|170557922.00|30-09-2015|4155.45|170588515.00|31-12-2015|3103.15|170607653.00|31-03-2016|3034.90|170607653.00|30-06-2016|3383.50|165530149.00|30-09-2016|3108.70|165710785.00|30-12-2016|3058.50|165726635.00|31-03-2017|2632.50|165741713.00|30-06-2017|2682.65|165801974.00|29-09-2017|2329.40|165879277.00|29-12-2017|2414.40|165893524.00|28-03-2018|2082.45|165910907.00|29-06-2018|2233.80|165973228.00|28-09-2018|2530.25|166045857.00|31-12-2018|2617.00|166060861.00|29-03-2019|2774.15|166065948.00|28-06-2019|2549.80|166113840.00|30-09-2019|2700.85|166145748.00|31-12-2019|2877.15|166163148.00|31-03-2020|3117.10|166172082.00|30-06-2020|3941.00|166232516.00|30-09-2020|5187.05|166269279.00|31-12-2020|5204.10|166298116.00|31-03-2021|4515.60|166301231.00|30-06-2021|5420.35|166360134.00|30-09-2021|4885.60|166398811.00|31-12-2021|4908.65|166416892.00|31-03-2022|4305.40|166425849.00
Fortis Healthcare Ltd.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||29-06-2007|84.46|226666533.00|28-09-2007|87.99|226666533.00|31-12-2007|111.51|226666533.00|31-03-2008|83.03|226666533.00|30-06-2008|67.64|226666533.00|30-09-2008|63.40|226666533.00|31-12-2008|67.44|226666533.00|31-03-2009|69.53|226666533.00|30-06-2009|97.65|226666533.00|30-09-2009|111.05|317322409.00|31-12-2009|136.75|226675473.00|31-03-2010|183.20|317323609.00|30-06-2010|152.25|405057195.00|30-09-2010|158.00|405061795.00|31-12-2010|146.65|405074175.00|31-03-2011|151.25|405103475.00|30-06-2011|162.55|405117335.00|30-09-2011|125.80|405160815.00|30-12-2011|83.85|405177415.00|30-03-2012|100.25|405179715.00|29-06-2012|101.45|405179715.00|28-09-2012|103.05|405203435.00|31-12-2012|114.80|405203435.00|28-03-2013|99.90|405207335.00|28-06-2013|86.05|459038965.00|30-09-2013|97.70|462776414.00|31-12-2013|102.45|462786314.00|31-03-2014|97.80|462786314.00|30-06-2014|121.65|462788114.00|30-09-2014|116.65|462788914.00|31-12-2014|111.10|462788914.00|31-03-2015|164.55|462805414.00|30-06-2015|179.55|462884794.00|30-09-2015|168.90|462940794.00|31-12-2015|180.25|463123794.00|31-03-2016|175.45|463129994.00|30-06-2016|158.10|463199994.00|30-09-2016|166.60|463338994.00|30-12-2016|180.55|481560044.00|31-03-2017|180.10|517727631.00|30-06-2017|162.10|518517631.00|29-09-2017|144.15|518517631.00|29-12-2017|160.30|518617631.00|28-03-2018|123.40|518657231.00|29-06-2018|134.75|518682831.00|28-09-2018|135.05|519082831.00|31-12-2018|140.40|754951948.00|29-03-2019|135.80|754954948.00|28-06-2019|130.40|754958148.00|30-09-2019|135.05|754958148.00|31-12-2019|132.05|754958148.00|31-03-2020|126.05|754958148.00|30-06-2020|121.75|754958148.00|30-09-2020|135.30|754958148.00|31-12-2020|154.95|754958148.00|31-03-2021|199.00|754958148.00|30-06-2021|243.45|754958148.00|30-09-2021|263.45|754958148.00|31-12-2021|297.25|754958148.00|31-03-2022|290.40|754958148.00
Max Healthcare Institute Ltd.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||30-09-2020|115.45|904532524.00|31-12-2020|140.15|904532524.00|31-03-2021|206.05|965945006.00|30-06-2021|255.00|965945006.00|30-09-2021|360.20|965945006.00|31-12-2021|441.70|969588524.00|31-03-2022|346.90|969613455.00
Narayana Hrudayalaya Ltd.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||31-03-2016|285.70|204360804.00|30-06-2016|313.70|204360804.00|30-09-2016|332.10|204360804.00|30-12-2016|342.55|204360804.00|31-03-2017|313.50|204360804.00|30-06-2017|313.75|204360804.00|29-09-2017|302.15|204360804.00|29-12-2017|298.50|204360804.00|28-03-2018|278.65|204360804.00|29-06-2018|234.45|204360804.00|28-09-2018|243.95|204360804.00|31-12-2018|195.55|204360804.00|29-03-2019|213.75|204360804.00|28-06-2019|239.95|204360804.00|30-09-2019|223.40|204360804.00|31-12-2019|307.20|204360804.00|31-03-2020|247.45|204360804.00|30-06-2020|267.65|204360804.00|30-09-2020|358.10|204360804.00|31-12-2020|448.45|204360804.00|31-03-2021|406.10|204360804.00|30-06-2021|491.65|204360804.00|30-09-2021|502.05|204360804.00|31-12-2021|638.70|204360804.00|31-03-2022|746.55|204360804.00
Sun Pharmaceutical Inds. Ltd.|31-03-2000|16.00|46267499.00|30-06-2000|13.42|46745080.00|29-09-2000|10.87|46745080.00|29-12-2000|13.46|46745080.00|30-03-2001|13.53|46756518.00|29-06-2001|13.00|46756518.00|28-09-2001|13.32|46756518.00|31-12-2001|14.33|46756518.00|28-03-2002|16.75|46756518.00|28-06-2002|13.95|46775037.00|30-09-2002|14.00|46794808.00|31-12-2002|15.04|46794808.00|31-03-2003|13.53|93222778.00|30-06-2003|17.42|92755678.00|30-09-2003|24.58|92755678.00|31-12-2003|29.77|92755678.00|31-03-2004|32.49|92755678.00|30-06-2004|36.62|185511356.00|30-09-2004|42.70|185511356.00|31-12-2004|55.45|185511356.00|31-03-2005|47.14|185511356.00|30-06-2005|57.70|185511356.00|30-09-2005|66.53|185515630.00|30-12-2005|68.22|185515630.00|31-03-2006|86.64|185731637.00|30-06-2006|79.08|186067805.00|29-09-2006|93.01|186660284.00|29-12-2006|97.90|190057090.00|30-03-2007|105.40|192537780.00|29-06-2007|102.21|197095539.00|28-09-2007|96.55|199185941.00|31-12-2007|122.21|201446615.00|31-03-2008|123.14|207116391.00|30-06-2008|139.26|207116391.00|30-09-2008|146.79|207116391.00|31-12-2008|106.50|207116391.00|31-03-2009|111.24|207116391.00|30-06-2009|109.10|207116391.00|30-09-2009|139.93|207116391.00|31-12-2009|150.71|207116391.00|31-03-2010|178.96|207116391.00|30-06-2010|178.41|207116391.00|30-09-2010|201.90|207116391.00|31-12-2010|242.32|1035581955.00|31-03-2011|220.90|1035581955.00|30-06-2011|248.40|1035581955.00|30-09-2011|230.85|1035581955.00|30-12-2011|248.43|1035581955.00|30-03-2012|284.75|1035581955.00|29-06-2012|317.77|1035581955.00|28-09-2012|346.65|1035581955.00|31-12-2012|367.75|1035581955.00|28-03-2013|409.18|1035581955.00|28-06-2013|504.25|1035581955.00|30-09-2013|592.55|2071163910.00|31-12-2013|567.75|2071163910.00|31-03-2014|573.35|2071163910.00|30-06-2014|686.25|2071163910.00|30-09-2014|857.30|2071163910.00|31-12-2014|826.15|2071163910.00|31-03-2015|1022.25|2071163910.00|30-06-2015|874.20|2406423348.00|30-09-2015|868.45|2406496137.00|31-12-2015|819.95|2406666050.00|31-03-2016|819.45|2406728499.00|30-06-2016|763.60|2406753959.00|30-09-2016|742.70|2406753959.00|30-12-2016|629.75|2399270188.00|31-03-2017|687.70|2399291181.00|30-06-2017|554.50|2399306181.00|29-09-2017|503.20|2399308086.00|29-12-2017|570.80|2399309346.00|28-03-2018|495.40|2399323180.00|29-06-2018|560.55|2399324494.00|28-09-2018|623.35|2399324674.00|31-12-2018|430.65|2399328274.00|29-03-2019|479.25|2399334970.00|28-06-2019|401.00|2399334970.00|30-09-2019|389.65|2399334970.00|31-12-2019|432.50|2399334970.00|31-03-2020|352.20|2399334970.00|30-06-2020|472.95|2399334970.00|30-09-2020|500.50|2399334970.00|31-12-2020|592.35|2399334970.00|31-03-2021|597.60|2399334970.00|30-06-2021|675.50|2399334970.00|30-09-2021|818.20|2399334970.00|31-12-2021|845.40|2399334970.00|31-03-2022|914.80|2399334970.00
Torrent Pharmaceuticals Ltd.|31-03-2000|23.56|21159840.00|30-06-2000|13.75|21159840.00|29-09-2000|9.99|21159840.00|29-12-2000|10.94|21159840.00|30-03-2001|6.32|21159840.00|29-06-2001|7.29|21159840.00|28-09-2001|6.77|21159840.00|31-12-2001|8.56|21159840.00|28-03-2002|13.44|21159840.00|28-06-2002|12.63|21159840.00|30-09-2002|11.35|21159840.00|31-12-2002|12.55|21159840.00|31-03-2003|9.81|21159840.00|30-06-2003|15.04|21159840.00|30-09-2003|24.53|21159840.00|31-12-2003|25.03|21159840.00|31-03-2004|20.36|21152840.00|30-06-2004|19.70|21152840.00|30-09-2004|28.57|21152840.00|31-12-2004|35.89|21152840.00|31-03-2005|27.52|21152840.00|30-06-2005|30.98|21152840.00|30-09-2005|36.32|21152840.00|30-12-2005|52.84|21152840.00|31-03-2006|54.40|84611360.00|30-06-2006|48.83|84611360.00|29-09-2006|45.27|84611360.00|29-12-2006|52.55|84611360.00|30-03-2007|49.30|84611360.00|29-06-2007|64.49|84611360.00|28-09-2007|47.31|84611360.00|31-12-2007|50.30|84611360.00|31-03-2008|35.35|84611360.00|30-06-2008|39.89|84611360.00|30-09-2008|41.59|84611360.00|31-12-2008|34.31|84611360.00|31-03-2009|33.51|84611360.00|30-06-2009|44.79|84611360.00|30-09-2009|78.80|84611360.00|31-12-2009|98.60|84611360.00|31-03-2010|136.29|84611360.00|30-06-2010|137.05|84611360.00|30-09-2010|141.05|84611360.00|31-12-2010|144.50|84611360.00|31-03-2011|144.59|84611360.00|30-06-2011|158.82|84611360.00|30-09-2011|134.28|84611360.00|30-12-2011|133.91|84611360.00|30-03-2012|157.16|84611360.00|29-06-2012|149.96|84611360.00|28-09-2012|173.66|84611360.00|31-12-2012|181.64|84611360.00|28-03-2013|173.81|84611360.00|28-06-2013|205.45|84611360.00|30-09-2013|218.43|169222720.00|31-12-2013|237.03|169222720.00|31-03-2014|261.82|169222720.00|30-06-2014|354.82|169222720.00|30-09-2014|434.13|169222720.00|31-12-2014|565.65|169222720.00|31-03-2015|580.42|169222720.00|30-06-2015|649.25|169222720.00|30-09-2015|749.92|169222720.00|31-12-2015|726.83|169222720.00|31-03-2016|669.85|169222720.00|30-06-2016|685.38|169222720.00|30-09-2016|812.08|169222720.00|30-12-2016|657.75|169222720.00|31-03-2017|774.63|169222720.00|30-06-2017|606.50|169222720.00|29-09-2017|615.63|169222720.00|29-12-2017|708.33|169222720.00|28-03-2018|623.95|169222720.00|29-06-2018|701.25|169222720.00|28-09-2018|825.13|169222720.00|31-12-2018|885.63|169222720.00|29-03-2019|976.10|169222720.00|28-06-2019|774.40|169222720.00|30-09-2019|833.20|169222720.00|31-12-2019|923.48|169222720.00|31-03-2020|985.75|169222720.00|30-06-2020|1185.45|169222720.00|30-09-2020|1400.10|169222720.00|31-12-2020|1400.35|169222720.00|31-03-2021|1270.60|169222720.00|30-06-2021|1451.33|169222720.00|30-09-2021|1538.40|169222720.00|31-12-2021|1639.58|169222720.00|31-03-2022|1398.15|169222720.00
